ID,NumberAtts,Atts,metricOpt
8,8,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 MISI DI,0.684928374655647
6,7,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 MISI,0.676914600550964
26,7,RNU6ATAC HIRI ISI SRSF1 RNU1 MISI RNU2,0.672611570247934
4,6,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1,0.672611570247934
3,5,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI,0.672482093663912
25,6,RNU6ATAC HIRI ISI SRSF1 RNU1 MISI,0.672396694214876
18,6,RNU4 RNU6ATAC HIRI ISI SRSF1 RNU1,0.67133608815427
9,9,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 MISI DI RNU12,0.668451790633609
12,9,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 MISI DI RNU6,0.668165289256198
7,8,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 MISI RNU2,0.667090909090909
22,7,RNU4 RNU6ATAC HIRI ISI SRSF1 RNU1 IGI,0.666754820936639
5,7,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 RNU1,0.666019283746557
27,8,RNU6ATAC HIRI ISI SRSF1 RNU1 MISI RNU2 DI,0.665889807162534
28,8,RNU6ATAC HIRI ISI SRSF1 RNU1 MISI RNU2 RNU12,0.665203856749311
19,7,RNU4 RNU6ATAC HIRI ISI SRSF1 RNU1 MISI,0.66467217630854
14,6,NOVA1 HIRI ISI RNU1 MISI RNU2,0.663002754820937
17,5,RNU4 RNU6ATAC HIRI ISI SRSF1,0.6613608815427
10,9,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 MISI DI ESRP1,0.661013774104683
2,4,RNU4ATAC NOVA1 RNU6ATAC HIRI,0.660862258953168
24,5,RNU6ATAC HIRI ISI SRSF1 RNU1,0.660206611570248
13,5,NOVA1 HIRI ISI RNU1 MISI,0.6583608815427
30,8,RNU6ATAC HIRI ISI SRSF1 RNU1 MISI RNU2 RNU6,0.655666666666667
11,9,RNU4ATAC NOVA1 RNU6ATAC HIRI ISI SRSF1 MISI DI IGI,0.655586776859504
29,8,RNU6ATAC HIRI ISI SRSF1 RNU1 MISI RNU2 ESRP1,0.655523415977961
15,7,NOVA1 HIRI ISI RNU1 MISI RNU2 DI,0.654435261707989
23,7,RNU4 RNU6ATAC HIRI ISI SRSF1 RNU1 RNU6,0.653906336088154
16,4,RNU4 RNU6ATAC HIRI ISI,0.653471074380165
20,7,RNU4 RNU6ATAC HIRI ISI SRSF1 RNU1 DI,0.653471074380165
21,7,RNU4 RNU6ATAC HIRI ISI SRSF1 RNU1 RNU12,0.651267217630854
1,3,RNU4ATAC NOVA1 RNU6ATAC,0.650575757575758
