nIter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
11,0.918039958407605,0.566666666666667,0.968003565062389,0.0629173896297438,0.232799059918314,0.028388954970422
21,0.923911913250149,0.551666666666667,0.96883541295306,0.059450190846613,0.232112982794175,0.0351324467121318
31,0.935098781937017,0.575,0.970915032679739,0.0505438361410059,0.231468326573846,0.0375839445511284
41,0.940832590612002,0.548333333333333,0.972964943553179,0.0497979440853919,0.203199975110868,0.030001732129471
51,0.939385026737968,0.588333333333333,0.971954842543078,0.0493045246115058,0.199863459138609,0.0284760292149794
61,0.935802881758764,0.598333333333333,0.975995246583482,0.0592216359732985,0.209467030297394,0.0299071791114209
71,0.940950683303625,0.62,0.973945335710042,0.0570722298031058,0.195024313249966,0.0281742646060956
81,0.945454545454545,0.59,0.970023767082591,0.0529113337378104,0.19757146240948,0.0294694339911773
91,0.941309417706477,0.583333333333333,0.974955436720143,0.0556604560366716,0.185385587605817,0.0263159995226298
101,0.935454545454545,0.581666666666667,0.970944741532977,0.0573637799077486,0.198912272004577,0.0267559920399723
