mstop,prune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
50,no,0.94798871063577,0.358333333333333,0.99399881164587,0.0418184726655947,0.220142325957915,0.012209056190134
100,no,0.956999405822935,0.47,0.99399881164587,0.0371215855553269,0.268328157299975,0.012209056190134
150,no,0.958658645276292,0.493333333333333,0.992988710635769,0.035378854859813,0.25350417711764,0.0129278190782661
200,no,0.961284907902555,0.518333333333333,0.990968508615567,0.0323852261082248,0.230622595617158,0.0140331924578843
250,no,0.963288770053476,0.531666666666667,0.989958407605466,0.0324406078717575,0.223021312315945,0.0164922478415576
300,no,0.964393939393939,0.545,0.989958407605466,0.031744897080545,0.226803119847179,0.0164922478415576
350,no,0.965790255496138,0.551666666666667,0.986928104575163,0.0306793444832348,0.231368989269094,0.0234061713515211
400,no,0.966036838978016,0.551666666666667,0.987938205585264,0.0310003956154025,0.231368989269094,0.0232904969388178
450,no,0.966789958407606,0.56,0.986957813428402,0.0297462864110458,0.23393190874918,0.0233841013653018
500,no,0.967193998811646,0.56,0.985977421271539,0.0295949631662467,0.23393190874918,0.0246749928580054
